,prices,location,furnished,owner,link,title,area,type,dates,text,bathrooms,text1,co-ordinate,depo
33,850,Moshi,,Broker:  Prime Properties ,https://property.sulekha.com/apartments-flats-for-rent/860-sqft-2-bhk-apartment-for-rent-in-moshi-pradhikaran-pimpri-chinchwad-2796285591-ad,2 BHK Residential Apartment for Rent in Moshi Pradhikaran,860 Sq Feet,,2020-08-08,1 Car Parking 3rd (of 4 Floors) UnFurnished Family,,Corporation water Drainage Facility Visitors Parking +2 Amenities,"18.6527077,73.8480927","30,000"
34,"13,000","Marunji,",,Building:  life Republic   Broker:  Nimbleland Infracon L.L.P. ,https://property.sulekha.com/apartments-flats-for-rent/680-sqft-1-bhk-flat-for-rent-at-life-republic-in-marunji-pimpri-chinchwad-2796299691-ad,1 BHK Residential Apartment for Rent at life Republic in Marunji,680 Sq Feet,,2020-12-06,1 Car Parking 19th (of 22 Floors) UnFurnished Family/Bachelor Veg/Non Veg,,Corporation water Drainage Facility 24*7 Power Backup +43 Amenities,"18.6208973,73.7106885","40,000"
35,"13,000","Wakad,",,Building:  Vardhaman Dreams  Broker:  Magic Homes ,https://property.sulekha.com/apartments-flats-for-rent/621-sqft-1-bhk-flat-for-rent-at-vardhaman-dreams-in-dange-chowk-pimpri-chinchwad-2796307210-ad,1 BHK Residential Apartment for Rent at Vardhaman Dreams in Dange Chowk,621 Sq Feet,,2021-02-26,1 Car Parking 4th (of 6 Floors) UnFurnished Family/Bachelor Veg/Non Veg,,Corporation water 24*7 Power Backup Lifts +11 Amenities,"0,0","30,000"
36,"6,000","Kharadi,",,Broker:  Nilkanth Barate ,https://property.sulekha.com/apartments-flats-for-rent/285-sqft-1-rk-flat-for-rent-in-kharadi-pune-1007309150-ad,1 RK Residential Apartment for Rent in Kharadi,285 Sq Feet,,2021-03-19,No Car Parking 3rd (of 3 Floors) UnFurnished Family/Bachelor Veg/Non Veg,,Corporation water,"18.552013,73.937569","12,000"
37,"16,000",Kasba,,Building:  Rakshak Nagar Gold  Broker:  Aditya Buildcon ,https://property.sulekha.com/apartments-flats-for-rent/585-sqft-1-bhk-flat-for-rent-at-rakshak-nagar-gold-in-kasba-peth-pune-1007305687-ad,1 BHK Residential Apartment for Rent at Rakshak Nagar Gold in Kasba Peth,585 Sq Feet,,2021-02-09,1 Car Parking 4th (of 6 Floors) UnFurnished Family Veg/Non Veg,,Corporation water Drainage Facility 24*7 Power Backup +33 Amenities,"18.5204281,73.8567143","50,000"
38,"6,000",Nagpur,,Broker:  S.S Enterprises ,https://property.sulekha.com/apartments-flats-for-rent/400-sqft-1-rk-apartment-for-rent-in-yerawada-pune-1007295796-ad,1 RK Residential Apartment for Rent in Yerawada,400 Sq Feet,,2020-10-30,No Car Parking 2nd (of 2 Floors) UnFurnished Family/Bachelor,,Corporation water Drainage Facility 24*7 Power Backup,"0,0","12,000"
39,"8,500","Hadapsar,",,Building:  Amat preet  Broker:  Malhar Properties ,https://property.sulekha.com/apartments-flats-for-rent/675-sqft-1-bhk-flat-for-rent-at-amat-preet-in-hadapsar-pune-1007282145-ad,1 BHK Flat for Rent at Amat preet in Hadapsar,675 Sq Feet,,2020-07-10,1 Car Parking 2nd (of 3 Floors) UnFurnished Family/Bachelor,,Corporation water Drainage Facility Security +3 Amenities,"18.5055951,73.9256948","25,000"
40,"13,000","Wakad,",,Building:  Vardhaman Dreams  Broker:  Magic Homes ,https://property.sulekha.com/apartments-flats-for-rent/621-sqft-1-bhk-flat-for-rent-at-vardhaman-dreams-in-dange-chowk-pimpri-chinchwad-2796307210-ad,1 BHK Residential Apartment for Rent at Vardhaman Dreams in Dange Chowk,621 Sq Feet,,2021-02-26,1 Car Parking 4th (of 6 Floors) UnFurnished Family/Bachelor Veg/Non Veg,,Corporation water 24*7 Power Backup Lifts +11 Amenities,"0,0","30,000"
41,"6,000","Kharadi,",,Broker:  Nilkanth Barate ,https://property.sulekha.com/apartments-flats-for-rent/285-sqft-1-rk-flat-for-rent-in-kharadi-pune-1007309150-ad,1 RK Residential Apartment for Rent in Kharadi,285 Sq Feet,,2021-03-19,No Car Parking 3rd (of 3 Floors) UnFurnished Family/Bachelor Veg/Non Veg,,Corporation water,"18.552013,73.937569","12,000"
42,"16,000",Kasba,,Building:  Rakshak Nagar Gold  Broker:  Aditya Buildcon ,https://property.sulekha.com/apartments-flats-for-rent/585-sqft-1-bhk-flat-for-rent-at-rakshak-nagar-gold-in-kasba-peth-pune-1007305687-ad,1 BHK Residential Apartment for Rent at Rakshak Nagar Gold in Kasba Peth,585 Sq Feet,,2021-02-09,1 Car Parking 4th (of 6 Floors) UnFurnished Family Veg/Non Veg,,Corporation water Drainage Facility 24*7 Power Backup +33 Amenities,"18.5204281,73.8567143","50,000"
43,"6,000",Nagpur,,Broker:  S.S Enterprises ,https://property.sulekha.com/apartments-flats-for-rent/400-sqft-1-rk-apartment-for-rent-in-yerawada-pune-1007295796-ad,1 RK Residential Apartment for Rent in Yerawada,400 Sq Feet,,2020-10-30,No Car Parking 2nd (of 2 Floors) UnFurnished Family/Bachelor,,Corporation water Drainage Facility 24*7 Power Backup,"0,0","12,000"
44,"8,500","Hadapsar,",,Building:  Amat preet  Broker:  Malhar Properties ,https://property.sulekha.com/apartments-flats-for-rent/675-sqft-1-bhk-flat-for-rent-at-amat-preet-in-hadapsar-pune-1007282145-ad,1 BHK Flat for Rent at Amat preet in Hadapsar,675 Sq Feet,,2020-07-10,1 Car Parking 2nd (of 3 Floors) UnFurnished Family/Bachelor,,Corporation water Drainage Facility Security +3 Amenities,"18.5055951,73.9256948","25,000"
45,"7,000","Pimpri,",,Broker:  Vision Associates ,https://property.sulekha.com/apartments-flats-for-rent/400-sqft-1-rk-flat-for-rent-in-pimpri-pune-100755674-ad,1 RK Residential Apartment for Rent in Pimpri,400 Sq Feet,,2019-06-29,1 Car Parking Ground Floor (of 1 Floors) UnFurnished Family/Bachelor,,Corporation water Drainage Facility 24*7 Power Backup,"18.6297811,73.7997094","50,000"
46,"5,600",Benkar,,Broker:  Rama Enterprises ,https://property.sulekha.com/apartments-flats-for-rent/550-sqft-1-bhk-flat-for-rent-in-dhayari-pune-1007312148-ad,1 BHK Residential Apartment for Rent in Dhayari,550 Sq Feet,,2021-05-15,No Car Parking 3rd (of 4 Floors) UnFurnished Family Veg/Non Veg,,Corporation water ATM Visitors Parking +1 Amenities,"0,0","20,000"
47,for,"Undri,",,Building:  Eternal Exotica  Broker:  Ozone Properties ,https://property.sulekha.com/apartments-flats-for-rent/1509-sqft-3-bhk-flat-for-rent-at-eternal-exotica-in-undri-pune-1007274662-ad,3 BHK Residential Apartment for Rent at Eternal Exotica in Undri,1509 Sq Feet,,2020-03-18,1 Car Parking 4th (of 11 Floors) Fully Furnished Bachelors,,24*7 Power Backup Lifts Swimming Pool +16 Amenities,"18.4566651,73.9095279","2,000,000"
