,link,title,prices,location,type,area,dates
18,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-rent-in-xrbia-hinjewadi-road-nere-pune-530-sq-ft-spid-K55727156,2 BHK Residential Apartment for rent in Nere,"₹ 8,000 /monthDeposit ₹ 15000",Xrbia Hinjewadi Road,2 BHK2 Baths,530 sq.ft. (49 sq.m.) Super built-up Area,not give
19,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-rent-in-kale-vidyadhan-dhanakwadi-pune-740-sq-ft-spid-A56575952,2 BHK Residential Apartment for rent in Dhankawadi,"₹ 13,000 /monthDeposit ₹ 40000",Kale Vidyadhan,2 BHK1 Bath,740 sq.ft. (69 sq.m.) Carpet Area,not give
20,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-rent-in-sukhwani-gracia-sus-pune-969-sq-ft-spid-Q56575716,2 BHK Residential Apartment for rent in Sus,"₹ 17,000 /monthDeposit ₹ 40000",Sukhwani Gracia,2 BHK2 Baths,969 sq.ft. (90 sq.m.) Super built-up Area,not give
21,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-asa-residency-sant-nagar-lohegaon-655-sq-ft-spid-V56575648,1 BHK Residential Apartment for rent in Sant nagar wagholi road lohegaon,"₹ 6,500 /monthDeposit ₹ 20000",Asa residency sant nagar lohegaon,1 BHK1 Bath,655 sq.ft. (61 sq.m.) Carpet Area,not give
22,https://www.99acres.com/1-bhk-bedroom-independent-house-for-rent-in-manjri-bk-pune-550-sq-ft-spid-H56575616,1 Bedroom Independent House for rent in Manjri BK,"₹ 6,500 /monthDeposit ₹ 15000",,1 BHK1 Bath,550 sq.ft. (51 sq.m.) Plot Area,not give
23,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-raje-sankalp-c4-520-sq-ft-spid-K56575574,1 BHK Residential Apartment for rent in sector-17 and 19 chikhali,"₹ 7,000 /monthDeposit ₹ 18000",Raje sankalp C4,1 BHK1 Bath,520 sq.ft. (48 sq.m.) Carpet Area,not give
24,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-rent-in-sai-sanskruti-wagholi-pune-1060-sq-ft-spid-A33314401,3 BHK Residential Apartment for rent in Wagholi,"₹ 13,000 /monthDeposit ₹ 30000",Sai Sanskruti,3 BHK2 Baths,"1,060 sq.ft. (98 sq.m.) Super built-up Area",not give
25,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-rent-in-sai-sanskruti-wagholi-pune-1060-sq-ft-spid-H81181440,3 BHK Residential Apartment for rent in Wagholi,"₹ 13,000 /monthDeposit ₹ 30000",Sai Sanskruti,3 BHK2 Baths,"1,060 sq.ft. (98 sq.m.) Super built-up Area",not give
0,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-rent-in-kumar-presidency-koregaon-park-pune-1600-sq-ft-spid-Z55589242,3 BHK Residential Apartment for rent in Koregaon Park,"₹ 52,000 /monthDeposit ₹ 200000",Kumar Presidency,3 BHK3 Baths,"1,600 sq.ft. (149 sq.m.) Carpet Area",not give
1,https://www.99acres.com/4-bhk-bedroom-residential-apartments-for-rent-in-shalaka-opus-salisbury-park-pune-3978-sq-ft-spid-F56123044,4 BHK Residential Apartment for rent in Salisbury Park,"₹ 80,000 /monthDeposit 6 month(s) rent",Shalaka Opus,4 BHK4 Baths,"3,978 sq.ft. (370 sq.m.) Super built-up Area",not give
2,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-belvalkar-chaitrangan-katraj-pune-640-sq-ft-spid-G56165344,1 BHK Residential Apartment for rent in Katraj,"₹ 10,000 /monthDeposit ₹ 40000",Belvalkar Chaitrangan,1 BHK1 Bath,640 sq.ft. (59 sq.m.) Built-up Area,not give
3,https://www.99acres.com/2-bhk-bedroom-builder-floor-for-rent-in-sai-apartment-lullanagar-lullanagar-pune-1500-sq-ft-spid-Y55406148,2 BHK Independent Builder Floor for rent in Lullanagar,"₹ 16,000 /monthDeposit ₹ 60000","Sai Apartment, lullanagar",2 BHK2 Baths,"1,500 sq.ft. (139 sq.m.) Built-up Area",not give
4,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-rent-in-ashirwad-arrena29-rahatani-pune-411017-940-sq-ft-spid-A56578374,2 BHK Residential Apartment for rent in Shivaraj nagar Rahatani,"₹ 20,000 /monthDeposit 3 month(s) rent","Ashirwad , Arrena29 , Rahatani, Pune 411017",2 BHK2 Baths,940 sq.ft. (87 sq.m.) Super built-up Area,not give
5,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-rent-in-la-cabana-sus-pune-900-sq-ft-spid-W56578314,2 BHK Residential Apartment for rent in Sus,"₹ 15,000 /monthDeposit ₹ 40000",La Cabana,2 BHK2 Baths,900 sq.ft. (84 sq.m.) Carpet Area,not give
6,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-maple-aapla-ghar-chakan-pune-520-sq-ft-spid-O56578292,1 BHK Residential Apartment for rent in Chakan,"₹ 6,500 /monthDeposit ₹ 15000",Maple Aapla Ghar,1 BHK1 Bath,520 sq.ft. (48 sq.m.) Carpet Area,not give
7,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-shilptula-co-op-housing-soc-aundh-pune-850-sq-ft-spid-T25425231,1 BHK Residential Apartment for rent in Aundh,"₹ 17,000 /monthDeposit ₹ 50000",Shilptula Co-op. Housing Soc.,1 BHK1 Bath,850 sq.ft. (79 sq.m.) Super built-up Area,not give
8,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-vighnaharta-chs-erandwane-pune-471-sq-ft-spid-B56578196,1 BHK Residential Apartment for rent in Erandwane,"₹ 13,000 /monthDeposit ₹ 30000",Vighnaharta CHS,1 BHK1 Bath,471 sq.ft. (44 sq.m.) Carpet Area,not give
9,https://www.99acres.com/3-bhk-bedroom-independent-house-for-rent-in-bhujbal-vatushree-pearl-kothrud-pune-2200-sq-ft-spid-A56578186,3 Bedroom Independent House for rent in Kothrud,"₹ 40,000 /monthDeposit 3 month(s) rent",Bhujbal Vatushree Pearl,3 BHK3 Baths,"2,200 sq.ft. (204 sq.m.) Plot Area",not give
10,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-rent-in-kalpataru-estate-pimple-gurav-pune-1505-sq-ft-spid-O27125511,3 BHK Residential Apartment for rent in Pimple Gurav,"₹ 25,000 /monthDeposit ₹ 100000",Kalpataru Estate,3 BHK3 Baths,"1,505 sq.ft. (140 sq.m.) Super built-up Area",not give
