,BHK,PRICE,AREA,link,text,deposite,furnished,locality,Name
25,2 ,"10,000",900 ,https://www.makaan.com/pune/builder-project-in-mundhwa-13776158/2bhk-900-sqft-apartment-for-rent,2 BHK Apartment,No Deposit,Semi-Furnished,Mundhwa,seller
26,1 ,"7,000",600 ,https://www.makaan.com/pune/builder-project-in-lohegaon-13776140/1bhk-2t-600-sqft-builderfloor-for-rent,1 BHK Independent Floor,No Deposit,Unfurnished,Lohegaon,seller
27,2 ,"14,000",1375 ,https://www.makaan.com/pune/shapoorji-pallonji-real-estate-hinjawadi-i-phase-6-in-hinjewadi-13776134/2bhk-2t-1375-sqft-villa-for-rent,2 BHK Villa,No Deposit,Semi-Furnished,Hinjewadi,seller
28,1 ,"11,000",580 ,https://www.makaan.com/pune/builder-project-in-new-sangavi-13776109/1bhk-1t-580-sqft-apartment-for-rent,1 BHK Apartment,No Deposit,Semi-Furnished,New Sangavi,seller
29,2 ,"12,000",825 ,https://www.makaan.com/pune/rajmata-construction-star-city-in-alandi-13767480/2bhk-2t-825-sqft-apartment-for-rent,2 BHK Apartment,No Deposit,Unfurnished,Alandi,seller
30,2 ,"10,500",950 ,https://www.makaan.com/pune/builder-project-in-mundhwa-13767596/2bhk-2t-950-sqft-independenthouse-for-rent,2 BHK Independent House,No Deposit,Unfurnished,Mundhwa,seller
31,1 ,"8,000",850 ,https://www.makaan.com/pune/lunkad-builder-anand-tarang-c-building-in-alandi-13762897/1bhk-1t-850-sqft-apartment-for-rent,1 BHK Apartment,No Deposit,Unfurnished,Alandi,seller
32,2 ,"9,000",900 ,https://www.makaan.com/pune/builder-project-in-mundhwa-13760856/2bhk-2t-900-sqft-independenthouse-for-rent,2 BHK Independent House,No Deposit,Semi-Furnished,Mundhwa,seller
33,1 ,"13,500",678 ,https://www.makaan.com/pune/saarrthi-group-sovereign-in-hinjewadi-13752400/1bhk-1t-678-sqft-apartment-for-rent,1 BHK Apartment,No Deposit,Semi-Furnished,Hinjewadi,seller
34,1 ,"11,000",550 ,https://www.makaan.com/pune/builder-project-in-wadgaon-sheri-13745406/1bhk-1t-550-sqft-apartment-for-rent,1 BHK Apartment,No Deposit,Unfurnished,Wadgaon Sheri,seller
35,1 ,"5,000",300 ,https://www.makaan.com/pune/sagar-developers-dehu-abhilasha-heights-in-ravet-13746426/1rk-1t-300-sqft-apartment-for-rent,1 RK Studio Apartment,No Deposit,Semi-Furnished,Ravet,seller
36,1 ,"6,800",550 ,https://www.makaan.com/pune/builder-project-in-manjari-budruk-13748335/1bhk-1t-550-sqft-apartment-for-rent,1 BHK Apartment,No Deposit,Unfurnished,Manjari Budruk,seller
37,2 ,"15,500",1186 ,https://www.makaan.com/pune/shree-infracon-nidhi-in-lohegaon-13734529/2bhk-2t-1186-sqft-apartment-for-rent,2 BHK Apartment,No Deposit,Unfurnished,Lohegaon,seller
38,2 ,"17,000",891 ,https://www.makaan.com/pune/achalare-realtors-gauravi-apartments-in-baner-13739388/2bhk-2t-891-sqft-apartment-for-rent,2 BHK Apartment,No Deposit,Semi-Furnished,Baner,seller
39,2 ,"16,000",820 ,https://www.makaan.com/pune/sankla-buildcoon-palresha-sankla-p-s-villa-in-hadapsar-13739377/2bhk-1t-820-sqft-apartment-for-rent,2 BHK Apartment,No Deposit,Semi-Furnished,Hadapsar,seller
